institutionCode,collectionCode,datasetID,datasetName,license,rightsHolder,type,eventID,parentEventID,eventDate,eventRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004729,110000153_110000153,1996-02-28T09:46:00Z,,51.15,2.6417,EPSG:4326,2327
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004730,110000153_110000153,1996-02-28T09:52:00Z,,51.15,2.6233,EPSG:4326,2687
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004731,110000153_110000153,1996-02-28T09:59:00Z,,51.165,2.6433,EPSG:4326,3857
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004732,110000153_110000153,1996-02-28T10:09:00Z,,51.1833,2.6817,EPSG:4326,2757
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004733,110000153_110000153,1996-02-28T10:16:00Z,,51.1933,2.7067,EPSG:4326,1617
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004734,110000153_110000153,1996-02-28T11:03:00Z,,51.2,2.765,EPSG:4326,3317
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004735,110000153_110000153,1996-02-28T11:13:00Z,,51.205,2.8,EPSG:4326,2067
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004736,110000153_110000153,1996-02-28T11:19:00Z,,51.21,2.8267,EPSG:4326,1997
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004737,110000153_110000153,1996-02-28T11:25:00Z,,51.2233,2.8533,EPSG:4326,2737
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004738,110000153_110000153,1996-02-28T12:45:00Z,,51.235,2.8433,EPSG:4326,3517
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004739,110000153_110000153,1996-02-28T12:55:00Z,,51.225,2.8,EPSG:4326,3517
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004740,110000153_110000153,1996-02-28T13:05:00Z,,51.215,2.7617,EPSG:4326,2517
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004741,110000153_110000153,1996-02-28T13:44:00Z,,51.2233,2.7567,EPSG:4326,837
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004742,110000153_110000153,1996-02-28T13:47:00Z,,51.2283,2.7267,EPSG:4326,4227
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004743,110000153_110000153,1996-02-28T13:57:00Z,,51.2317,2.67,EPSG:4326,4227
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004744,110000153_110000153,1996-02-28T14:07:00Z,,51.2267,2.6133,EPSG:4326,4267
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004745,110000153_110000153,1996-02-28T14:17:00Z,,51.2133,2.56,EPSG:4326,4267
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004746,110000153_110000153,1996-02-28T14:27:00Z,,51.2,2.505,EPSG:4326,4267
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004747,110000153_110000153,1996-02-28T14:37:00Z,,51.1867,2.45,EPSG:4326,4267
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004748,110000153_110000153,1996-02-28T14:47:00Z,,51.1733,2.3983,EPSG:4326,4267
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004749,110000153_110000153,1996-02-28T14:57:00Z,,51.165,2.3667,EPSG:4326,1817
