eventID,occurrenceID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
110000153:110000153:110004733,,distance,,1.43,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004734,,area,,0.939,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004734,,distance,,3.13,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004735,,area,,0.564,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004735,,distance,,1.88,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004736,,area,,0.543,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004736,,distance,,1.81,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004737,,area,,0.765,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004737,,distance,,2.55,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004738,,area,,0.999,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004738,,distance,,3.33,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004739,,area,,0.999,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004739,,distance,,3.33,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004740,,area,,0.699,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004740,,distance,,2.33,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004741,,area,,0.195,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004741,,distance,,0.65,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004742,,area,,1.212,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004742,,distance,,4.04,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004743,,area,,1.212,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004743,,distance,,4.04,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004744,,area,,1.224,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004744,,distance,,4.08,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004745,,area,,1.224,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004745,,distance,,4.08,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004746,,area,,1.224,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004746,,distance,,4.08,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004747,,area,,1.224,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004747,,distance,,4.08,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004748,,area,,1.224,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004748,,distance,,4.08,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004749,,area,,0.489,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004749,,distance,,1.63,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
