Key,Description,LongDescription,Modified,Deprecated
77,Cetaceans: Calf at the tail of adult,Immature whales or dolphins constantly staying close to the side of an adult,2022-01-17T10:37:56.7,false
78,Cetaceans: Calf swimming freely in herd,"Immature whales or dolphins anywhere in the herd, except close to the side of an adult",2022-01-17T10:38:39.847,false
79,"Cetaceans: Basking, afloat","Constantly visible marine mammals, often with dorsal fin exposed, floating at the sea surface",2022-01-17T10:39:22.42,false
80,Cetaceans: Spy-hopping,"Head sticks out the water (including the eyes), apparently to look around. Also to be used for seals where appropriate",2022-01-17T10:39:53.75,false
81,Cetaceans: Lob-tailing,Code for cetaceans showing flukes while diving,2022-01-17T10:40:24.183,false
82,Cetaceans: Tail/flipper slapping,Cetaceans smashing tail on water surface or waving flippers or tail above surface,2022-01-17T10:40:56.32,false
83,Cetaceans: Approaching ship,"Marine mammals approaching the observation vessel (including wake and stern), not bow riding",2022-01-17T10:42:06.62,false
84,Cetaceans: Only blow visible (whales),"Usually unidentified whale, of which no more than a blow was visible",2022-01-17T10:42:38.77,false
85,Cetaceans: Only splashes visible (dolphins),"Usually unidentified marine mammals, of which no more than splashes at the surface were visible",2022-01-17T10:43:04.8,false
86,Cetaceans: Acrobatic leaps,"Marine mammals (mostly dolphins) acrobatically leaping out of the water in any direction, often landing with large splashes (see also #73)",2022-01-17T10:43:34.69,false
87,Cetaceans: Sexual behaviour,Any sexual behaviour (copulations) observed by marine mammals,2022-01-17T10:44:04.73,false
88,Cetaceans: Play,"Any behaviour observed by marine mammals that could be play, such as interactions with floating material (driftwood or seaweed)",2022-01-17T10:44:52.34,false
89,Haul-out (pinnipeds),Resting seals on rocks or sandbanks,2022-01-17T10:45:24.953,false
90,Under attack by kleptoparasite,"Bird (e.g. Northern Gannet, tern, or gull) under attack by kleptoparasite (e.g. skua, gull or frigate bird) in an aerial pursuit, or when handling prey at the surface",2022-01-17T10:46:45.52,false
91,Under attack (as prey) by bird,Bird chased by potential predator,2022-01-17T10:47:11.05,false
92,Under attack (as prey) by marine mammal,Bird attacked following underwater assault by marine mammal,2022-01-17T10:47:38.673,false
93,Escape diving,"Mainly used for moulting seaduck, unable to fly, escaping from approaching observation platform",2022-01-17T10:48:09.923,false
94,Flushed (disturbance),,2022-01-10T16:46:10.067,false
95,Injured,"Animals with clear injuries such as bleeding wounds, broken wings or fins",2022-01-17T10:49:08.663,false
96,Entagled in fishing gear or rope,"Animals entangled in ropes, lines, netting or other materials (even if capable to fly or swim)",2022-01-17T10:49:44.027,false
97,Oiled,"Animals contaminated with mineral oil, or other lipophilic substances damaging the plumage/coat",2022-01-17T10:52:01.033,false
98,"Sick, unwell","Weakened individuals, not behaving as normal, healthy animals would do, but without obvious injuries",2022-01-17T10:51:39.583,false
99,Dead,Any floating corpse of a bird or marine mammal (by default recorded as “out of transect“),2022-01-17T11:17:01.657,false
