Key,Description,LongDescription,Modified,Deprecated
0673,DUESSELDORF EXPRESS,,2019-09-23T14:49:12.697,false
0677,RIO NEGRO,,2018-03-05T10:59:30.393,false
0679,PRAGUE EXPRESS,,2016-11-04T11:10:21.73,false
067A,MAERSK DAMASCUS,,2009-09-10T11:29:05.623,false
067B,MAERSK DENTON,,2009-09-04T14:55:29.99,false
067E,GROSSHERZOGIN ELISABETH,,2019-07-29T09:08:52.203,false
067F,FIXED PLATFORMS,,2018-02-04T13:14:08.713,true
067I,ATAIR,,2022-01-19T11:08:19.7,false
067O,WESTWOOD PACIFIC,,2017-06-13T12:57:36.477,false
067P,EVER CHARMING,,2018-12-13T12:34:10.23,false
067Z,Hydrograf,,2019-02-04T19:50:47.84,false
0680,FRITHJOF,,2019-02-22T18:19:10.917,false
0681,LT CORTESIA,,2016-09-05T18:43:10.217,false
0682,HANSA VICTORY,,2019-07-24T11:11:26.033,false
0689,BERLIN EXPRESS,,2018-03-03T10:13:40.737,false
068B,ITAL CONTESSA,,2019-07-17T09:37:47.837,false
068E,DIPSY,,2021-02-23T20:09:33.81,false
068F,IFM12,,2019-02-04T19:46:38.193,false
068N,HANOVER EXPRESS,,2018-03-04T18:06:04.25,false
068T,MSC TEXAS,,2016-09-13T12:23:30.697,false
0690,MULTIPLE SHIPS,,2015-01-22T11:56:17.39,true
0699,UNKNOWN PLATFORMS,,2015-01-22T11:48:35.897,true
06A2,ARIANA,,2006-12-21T14:39:22.83,false
06A3,ATAIR,,2018-06-12T16:46:01.123,true
06A4,ALLIANCE,,2016-02-24T10:45:23.847,false
06A5,Alkor,,2009-12-03T16:25:18.083,false
06A6,Alkor,,2016-02-24T10:45:37.74,false
06A7,Atair,,2022-01-03T13:08:24.567,false
06A8,Atair,,2016-02-24T10:45:22.133,false
06A9,Alianca Andes,,2016-02-24T11:55:48.47,false
06AA,ALEMANIA,,2006-12-21T14:39:22.83,false
06AB,ALSTER EXPRESS,,2006-12-21T14:39:22.83,false
06AC,WEGA,,2009-09-04T14:57:30.003,false
06AD,ANTON DOHRN I,,2020-09-28T11:14:21.91,false
06AE,AADE,,2011-08-03T12:46:50.163,false
06AF,A FREYMANN,,2006-12-21T14:39:22.83,false
06AG,AVON,,2006-12-21T14:39:22.83,false
06AH,A. LEONHARDT,,2006-12-21T14:39:22.83,false
06AI,Meerkatze,,2015-05-29T12:48:12.79,false
06AJ,AUSSENJADE,,2006-12-21T14:39:22.83,false
06AK,ALKOR,,2018-06-12T16:46:41.183,true
06AL,ALTAIR,,2006-12-21T14:39:22.83,false
06AM,AMRUMBANK,,2015-10-12T13:22:56.527,false
06AN,ARKONA BECKEN,,2006-12-21T14:39:22.83,false
06AO,ANDREA,,2009-02-04T09:15:25.497,false
06AP,LIGHT SHIP ELBE 1,,2018-07-25T14:59:33.257,false
06AQ,Polarstern,,2010-04-06T15:43:23.45,false
06AR,AROS,,2006-12-21T14:39:22.83,false
06AS,JEBSEN SOUTHLAND,,2006-12-21T14:39:22.83,false
06AT,CONTSHIP ACTION,,2018-07-26T12:46:51.46,false
06AU,AUGUSTA,,2006-12-21T14:39:22.83,false
06AV,Alexander von Humboldt,,2019-08-14T11:29:12.577,false
06AW,TFL ADAMS,,2006-12-21T14:39:22.83,false
06AX,AXENFELS,,2006-12-21T14:39:22.83,false
06AY,COLUMBUS OREGON,,2015-10-12T19:55:48.12,false
06AZ,VALDIVIA,,2019-05-23T09:18:12.897,false
06B2,BUTT,,2006-12-21T14:39:22.83,false
06B3,BONN EXPRESS,,2014-09-25T09:06:29.297,false
06B4,Cap Reinga,,2016-02-24T11:55:48.477,false
06BA,BAUMWALL,,2006-12-21T14:39:22.83,false
06BB,BUNTENSTEIN,,2006-12-21T14:39:22.83,false
06BC,BUCHENSTEIN,,2006-12-21T14:39:22.83,false
06BD,BADENSTEIN,,2006-12-21T14:39:22.83,false
06BE,SONNE,,2018-07-22T15:04:02.687,false
06BF,NORDDEICH,,2006-12-21T14:39:22.83,false
06BG,BOERGEN,,2006-12-21T14:39:22.83,false
06BH,BRUNSHAUSEN,,2006-12-21T14:39:22.83,false
06BI,BISCHOFSTEIN,,2006-12-21T14:39:22.83,false
06BJ,ORIENTAL KNIGHT,,2006-12-21T14:39:22.83,false
06BK,BRITTA KRUEGER,,2006-12-21T14:39:22.83,false
06BL,BLITZ,,2006-12-21T14:39:22.83,false
06BM,BORNHOLM GATT,,2006-12-21T14:39:22.83,false
06BN,BANT,,2006-12-21T14:39:22.83,false
06BO,BORKUMRIFF,,2006-12-21T14:39:22.83,false
06BP,PETRITERM,,2006-12-21T14:39:22.83,false
06BQ,SAXON STAR,,2006-12-21T14:39:22.83,false
06BR,BRUNSKAMP,,2006-12-21T14:39:22.83,false
06BS,BUISE,,2006-12-21T14:39:22.83,false
06BT,BUNTENTOR,,2006-12-21T14:39:22.83,false
06BU,BURCHANA,,2006-12-21T14:39:22.83,false
06BV,BAVARIA,,2006-12-21T14:39:22.83,false
06BW,EUROLINER,,2006-12-21T14:39:22.83,false
06BX,SZCZECIN TRADER,,2006-12-21T14:39:22.83,false
06BY,BAYERNSTEIN,,2006-12-21T14:39:22.83,false
06BZ,UBENA,,2006-12-21T14:39:22.83,false
06C0,DALLAS EXPRESS,,2018-01-29T11:38:57.527,false
06C1,CARL FR. GAUSS,,2016-02-24T11:50:27.61,false
06C3,SOFIA EXPRESS,,2018-02-16T10:12:04.933,false
06CA,MOSEL,,2006-12-21T14:39:22.83,false
06CB,WISMAR,,2006-12-21T14:39:22.83,false
06CC,COLUMBUS CANTERBURY,,2006-12-21T14:39:22.83,false
06CD,COLUMBUS CANADA,,2006-12-21T14:39:22.83,false
06CE,ICEBIRD,,2016-02-24T10:46:07.32,false
06CF,CAP FINISTERRE,,2015-10-12T17:34:33.423,false
06CG,COLUMBUS COROMANDEL,,2016-02-24T10:46:08.817,false
06CH,COLUMBUS FLORIDA,,2006-12-21T14:39:22.83,false
06CI,Capella,,2010-08-06T19:00:21.603,false
06CJ,Christiane Bolten,,2009-12-08T14:13:18.283,false
06CK,CAP VICTOR,,2015-03-03T12:41:30.1,false
06CL,COLUMBUS LOUISIANA,,2006-12-21T14:39:22.83,false
06CM,Rio de la Plata,,2013-08-15T16:26:02.77,false
06CN,Cornelia,,2012-11-22T16:43:28.347,false
06CO,CORDILLERA,,2006-12-21T14:39:22.83,false
06CQ,SEBASTIAN,,2019-05-01T08:37:23.84,false
06CR,CORAL ESSBERGER,,2006-12-21T14:39:22.83,false
06CS,EBERHART ESSERBERGER,,2006-12-21T14:39:22.83,false
06CT,COLUMBUS VIRGINIA,,2006-12-21T14:39:22.83,false
06CV,COLUMBUS VICTORIA,,2006-12-21T14:39:22.83,false
06CW,COLUMBUS WELLINGTON,,2006-12-21T14:39:22.83,false
06CX,ACT 10,,2006-12-21T14:39:22.83,false
06CY,CONTI ASIA,,2014-09-25T14:39:28.807,false
06CZ,CANBERRA EXPRESS,,2020-02-06T11:24:36.43,false
06DA,ANTON DOHRN II,,2020-09-28T11:15:11.47,false
06DB,Damkerort,,2013-08-15T16:26:33.753,false
06DE,DEUTSCHLAND,,2006-12-21T14:39:22.83,false
06DF,KARLSBURG,,2006-12-21T14:39:22.83,false
06DG,ERICA BOLTEN,,2006-12-21T14:39:22.83,false
06DH,ATHENE,,2006-12-21T14:39:22.83,false
06DI,IFM14,,2019-02-04T19:44:55.52,false
06DJ,CHARLOTTE,,2006-12-21T14:39:22.83,false
06DK,MEIERWIK,,2006-12-21T14:39:22.83,false
06DL,PAASCHBURG,,2006-12-21T14:39:22.83,false
06DM,OTTO HAHN,,2006-12-21T14:39:22.83,false
06DN,DAGMAR AAEN,,2017-08-10T17:49:58.91,false
06DO,Drossel,,2010-03-16T14:05:39.297,false
06DR,DRACHE,,2006-12-21T14:39:22.83,false
06DW,NEW YORK EXPRESS,,2016-09-13T12:23:33,false
06E1,ELBE 1,,2006-12-21T14:39:22.83,false
06E2,ELBE 3,,2006-12-21T14:39:22.83,false
06E3,ELBE EXPRESS,,2006-12-21T14:39:22.83,false
06E7,QUEST,,2015-09-29T11:16:49.217,false
06EA,ELBSANDE,,2006-12-21T14:39:22.83,false
06EB,ELLENBOGEN,,2006-12-21T14:39:22.83,false
06EC,NEDLLOYD ENCOUNTER,,2015-03-03T12:46:46.02,false
06ED,ESSO DEUTSCHLAND,,2015-11-04T18:14:41.697,false
06EE,ESSO EUROPA,,2006-12-21T14:39:22.83,false
06EF,ERZHERZOG FRIEKRICK,,2006-12-21T14:39:22.83,false
06EG,ARGE ELBE,,2006-12-21T14:39:22.83,false
06EH,HERMANN MARWEDE,,2018-03-04T18:06:03.253,false
06EL,ELBE,,2006-12-21T14:39:22.83,false
06EM,EMS,,2016-02-24T10:46:36.737,false
06EN,EENDRACHT,,2006-12-21T14:39:22.83,false
06ER,E. ROTH,,2006-12-21T14:39:22.83,false
06ES,ELSFLETH,,2006-12-21T14:39:22.83,false
06EV,EISVOGEL,,2006-12-21T14:39:22.83,false
06EX,Explora,,2016-02-24T11:17:35.287,false
06EZ,Elisabeth Mann Borgese,,2016-02-24T11:50:26.247,false
06F4,EVER CHAMPION,,2018-12-13T12:34:09.503,false
06FD,FRIESLAND,,2006-12-21T14:39:22.83,false
06FE,FEHMARNBELT,,2006-12-21T14:39:22.83,false
06FF,ESSEN EXPRESS,,2018-05-16T09:06:08.56,false
06FI,FRIDTJOF NANSEN,,2018-06-14T16:58:51.55,true
06FJ,CMA CGM BALZAC,,2018-03-15T10:04:15.837,false
06FK,FRANKFURT,,2006-12-21T14:39:22.83,false
